id,name,author,date_created,medium_owned,medium_read,status,date_read,rating,genre,list,review
889,Noise: A Flaw in Human Judgment,"Daniel Kahneman, Olivier Sibony, Cass Sunstein",2021,PhysicalBook,PhysicalBook,read,2023-08-31 00:00:00,5,BookNonFiction,educational,"Noise is a book about statistical noise - and it is a mandatory read for anyone dealing with any sort of decision making, pattern finding, or even simple data analytics. What was surprising was that I picked up the book thinking it would be about the noise in our thinking and actions (which it is), but in addition I also got lots of relevance to the use of AI - such as the argument that algorithms can make decisions better than humans, but how do we justify this and what should be the parameters to even discuss this. In addition, and more importantly, it talked about what we can learn from the way we are developing AI to improve our own (humankind) processes and abilities to make decisions. Excellent book, and the last sections are a nice bonus as they provide a summary of relevant concepts."
890,Zima Blue and other stories,Alastair Reynolds,2006,PhysicalBook,PhysicalBook,read,2023-09-15 00:00:00,5,BookFiction;BookSciFi,,"Zima Blue is part of the 'Love, Death, and Robots' anthology on Netflix. It is one of favourite things of all short stories - text or visual - I have come across. So when I found a book titled 'Zima Blue' and containing more short stories from the same author, it was an instant buy. The book contains another short story from the animated series - 'Beyond the Aquila Rift' which is also quite good. Most of the series deal with aspects of science and humanism. Even where I found the stories a bit slow or dull, there was enough science to keep going (e.g. the Merlin's Gun trilogy) or others that truly expanded the consciousness by introducing new ideas (e.g. Everlasting). But the main reason I bought the book was to read 'Zima Blue', and it happened to be the last story in the series. I started it on the bus back from work, and was so hooked and interested to finish reading it in one sitting that I stood on the pavement under an umbrella and finished reading it. This was a rewarding read."
891,Translation State,Ann Leckie,2023,PhysicalBook,PhysicalBook,read,2023-08-31 00:00:00,5,BookFiction;BookSciFi,,"This is the fifth book in the Imperial Radch universe. A standalone 'sequel' to the Ancillary trilogy, it continues the wonder of aliens, genders, and technology - all wrapped up in drama of the highest quality that makes for a fine space opera. The ending might leave a milder taste for some, but it has a lot going on underneath that keeps those interested in hard science still intrigued. I waited for a while to buy this, until I finally came across it in a local bookshop and then I bought it immediately. I read this book within a day - and suffered from withdrawal because I enjoyed reading all of it and it ended quite soon."
892,How Democracies Die,Steven Levitsky & Daniel Ziblatt,2018,PhysicalBook,PhysicalBook,read,2023-09-06 00:00:00,5,BookNonFiction,educational,"The title is as catchy as a book on political science can get. In the current times where institutions get taken over by authoritatian politicians and systems get dismantled, it is scary to see this but not know what the future will hold. I have always wondered - how do I think about this? How do I know whether things are getting slightly worse or descending into bad times. Coming across this book unplanned meant it was an instant buy. The book itself is history wrapped around a framework for detecting when leaders are dismantling democracies - through questions and criterias. I found the framework useful, and easy enough to match with news articles and to discuss the interpretations. The book does mention several cases from history across the globe for when governments have descended into authoritarian takeovers - or 'good cases' where they have resisted. The part about preventing and resisting was illuminating. Though much of the book is US-centric and focuses on starting period of Trump era, it does take a broader global perspective. I think this book has been educational in priming my thoughts for how to think about democracy and threats to it. I am eager to understand how the framework works with the current Modi government as it has always worried me that the Indian democractical processes have been systematically dismantled."
893,The Ministry for the Future,Kim Stanley Robinson,2020,PhysicalBook,PhysicalBook,read,2023-09-30 00:00:00,4,BookFiction;BookSciFi,DCU;GiveAway,"If nothing else, - read Chapter 1 of this book. Tell me if doesn't affect you. So off to a great start about what climate change is going to do to human society, and the havoc it will have on everything. I do not recall another book that had me so personally invested in feeling the frustrations of the plot. Climate change is real, it is happening NOW, and yet we sit idly by. The book takes today as what we would do, and turns it into fiction - what will happen when we get disaster after disaster - and still shows that we wouldn't do much except short term band-aid solutions. The frustration of getting governments and companies to move, to stop producing carbon, to innovate for the betterment of the world and society - I felt all of that. The book is hard science-fiction, but I would categorise it more as 'hard policy fiction'. The stuff about pulling carbon out of the atmosphere, spreading particulates to reflect sun back, stopping glaciers from melting into the sea is cool. But the more interesting stuff is the reluctance from banks and companies to stop making quick profits - and how economics carrots and sticks can be used to induce a change for the better. In this case, through a 'carbon coin' - not a new idea, but certainly an important concept for the story. Blockchain makes an appearance too - and it was awkward because there were no details whatsoever about its implementation, but that's okay since there were other things to follow up on. It is difficult to understand this book - yes it is not 'realistic' in that it expects a lot of cooperation from agencies that we know today do not work that way. But it is also fiction, and the author chose not to just wave their hands and produce solutions. They showed that it is frustrating, but there are ways out of the quagmire we are in - and that is worth something. Let's call this a pragmatic utopian vision."
894,The Game of Logic,Lewis Carroll,1886,,,to-read,,,BookNonFiction,,
895,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,2015,EBook,EBook,read,2025-12-29 00:00:00,1,BookFiction;BookSciFi,,"It started off as incredibly clever, and looked to be a fun parody. Instead, it went quickly down a deep dark hole and kept going in. A circle-jerk vehicle for the author's force insertion of their ideas about 'rationality'. Then I looked up the author's other works - found some stuff about AI and safety and alignment -- so more crazy stuff. Makes sense. Didn't like it. DNF."
896,How to Destroy Surveillance Capitalism,Cory Doctorow,2020,EBook,EBook,read,2025-06-12 00:00:00,3,BookNonFiction,,"Brought this because I wanted to support Doctorow and hear more of what he says. The book itself is quite short, and the 'chatpers' are more like a short commentary in between things. The premise of the book sounds explosive, but the actual contents are more of a primer to the situation rather than a primer to an explosion. Still, I made notes of several sentences which I thought were good to use when describing the things in articles or to others. So there was value in reading more of the same."
897,The Rapture of the Nerds,Cory Doctorow and Charles Stross,2012,EBook,EBook,read,2025-06-15 00:00:00,4,BookFiction;BookSciFi,,This was a fun book to start and then a complex one to end with. It starts off as a Hitchhiker's take by Charles Stross with all the shenanigans I've come to expect from the author who wrote about Cornucopia (Singularity Sky). Then things just got more and more chaotic until we get more of Doctorow's influences in creating societal structures. Entertaining but felt like it ran off quite a bit of steam towards the end.
898,Data Privacy: A Runbook for Engineers,Nishant Bhajaria,2022,,,to-read,,,BookNonFiction,,
899,Practical Data Privacy: Enhancing Privacy and Security in Data,Katharine Jarmul,2023,,,to-read,,,BookNonFiction,,
900,The Battle for Your Brain: Defending the Right to Think Freely in the Age of Neurotechnology,Nita A. Farahany,2023,,,to-read,,,BookNonFiction,,
