id,name,author,date_created,medium_owned,medium_read,status,date_read,rating,genre,list,review
1,Poor Economics,Abhijit V. Banerjee,2011,PhysicalBook,PhysicalBook,read,2021-04-29 00:00:00,5,BookNonFiction,educational;DCU;GiveAway,
2,Permutation City,Greg Egan,1994,EBook;PhysicalBook,PhysicalBook,read,2023-03-14 00:00:00,5,BookFiction;BookSciFi,,"Permutation City is the book about multiverses, cyberspaces, and post-AI consciousness - all rolled into a physics and mathematical construct. The sheer scope of imagination here is immense - and that's what makes this a pleasure to read. I like hard sci-fi that also manages to push the boundaries of several things at once - and Greg Egan is an interesting person to read about this. I'm compelled to buy all his books and read through them."
3,Secrets of a Devon Wood: My Nature Journal,Jo Brown,2020,PhysicalBook,PhysicalBook,read,2014-10-26 00:00:00,5,BookNonFiction,visually-stunning,Delightful illustrations. Worth being a collectible.
4,Unauthorized Bread,Cory Doctorow,2019,,,to-read,,,BookFiction,,
5,Blindsight,Peter Watts,2006,EBook,EBook,read,2020-10-10 00:00:00,5,BookFiction;BookSciFi,scifi;aliens,
6,The Master and Margarita,Mikhail Bulgakov,1967,EBook,EBook,read,2020-10-04 00:00:00,3,BookFiction,classics,
7,Outgrowing God: A Beginner’s Guide,Richard Dawkins,2019,EBook,EBook,read,2023-01-19 00:00:00,4,BookNonFiction,,"A concise set of notes that really acts like an introduction on how to structure the mind in a logical and argument driven framework for understanding and escaping the dogma of religion. As I found later, much of it is a summarisation of The God Delusion - itself a much better explained and explored work."
8,Psychology: A Complete Introduction,Sandi Mann,2016,EBook,,to-read,,,BookNonFiction,,
9,Antkind,Charlie Kaufman,2020,PhysicalBook,PhysicalBook,read,2022-06-05 09:00:00,3,BookFiction,DCU;GiveAway,"This is Kaufman, but 700 pages long."
10,The Raven Tower,Ann Leckie,2019,PhysicalBook,PhysicalBook,read,2020-11-04 00:00:00,4,BookFiction;BookSciFi,best-fantasy,
11,Provenance,Ann Leckie,2017,PhysicalBook,PhysicalBook,read,2020-10-22 00:00:00,3,BookFiction;BookSciFi,,
12,Consentability: Consent and its Limits,Nancy S. Kim,2019,PhysicalBook,PhysicalBook,read,2021-08-22 00:00:00,5,BookNonFiction,educational;DCU,
13,Children of Ruin,Adrian Tchaikovsky,2019,PhysicalBook,PhysicalBook,read,2021-01-31 00:00:00,5,BookFiction;BookSciFi,aliens,
14,The Color Purple,Alice Walker,1982,EBook,EBook,read,2026-02-24 00:00:00,3,BookFiction,,"The book represents a Pulitzer winning insight into American culture and history but I felt that as an outsider I could not grasp nor appreciate the nuance of what makes it great. It is still a learning experience, to know the kinds and degrees of violence of all kinds that mankind has perpetuated, and how that has shaped the lives of women and the vulnerable over centuries."
15,Dragon's Egg,Robert L. Forward,1980,EBook,EBook,read,2023-01-05 16:00:00,4,BookFiction;BookSciFi,,This was an interesting book - a physics lecture on Neutron stars masquerading as a story. I don't like anthromorphism because it stops the creativity from imagining truly alien and different stories.
16,The Hilarious World of Depression,John Moe,2020,PhysicalBook,PhysicalBook,read,2021-10-31 00:00:00,3,BookNonFiction,,An autobiography of someone who has and overcame depression. Some gems to collect as you read
17,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,2014,,,to-read,,,BookNonFiction,,
18,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,1990,,,to-read,,,BookNonFiction,,
19,Rationality: From AI to Zombies,Eliezer Yudkowsky,2015,,,to-read,,,BookNonFiction,,
20,The Selfish Gene,Richard Dawkins,1976,,,to-read,,,BookNonFiction,,
21,"Red, White & Royal Blue",Casey McQuiston,2019,,,to-read,,,BookFiction,,
22,"The Improv Handbook: The Ultimate Guide to Improvising in Comedy, Theatre, and Beyond",Tom Salinsky,2008,,,to-read,,,BookNonFiction,,
23,An Introduction to Contemporary Metaethics,Alex Miller,2003,,,to-read,,,BookNonFiction,,
24,Psychology Applied to Modern Life: Adjustment in the 21st Century,Wayne Weiten,2000,,,to-read,,,BookNonFiction,,
25,Meaning and Argument: An Introduction to Logic Through Language,Ernest Lepore,2000,PhysicalBook,,to-read,,,BookNonFiction,DCU,
26,The Great Conversation: A Historical Introduction to Philosophy,Norman Melchert,1995,,,to-read,,,BookNonFiction,,
27,Chomsky On Anarchism,Noam Chomsky,2010,,,to-read,,,BookNonFiction,,
28,Profit Over People: Neoliberalism and Global Order,Noam Chomsky,1998,,,to-read,,,BookNonFiction,,
29,Manufacturing Consent: The Political Economy of the Mass Media,"Edward S. Herman, Noam Chomsky",1988,PhysicalBook,PhysicalBook,read,2021-05-18 00:00:00,5,BookNonFiction,educational;DCU;GiveAway,
30,The Last Question,Isaac Asimov,1956,,,to-read,,,BookFiction;BookSciFi,,
31,The Great Indian Novel,Shashi Tharoor,1989,,,to-read,,,BookFiction,,
32,Olympos,Dan Simmons,2005,PhysicalBook,,to-read,,,BookFiction;BookSciFi,cork,
33,Ilium,Dan Simmons,2003,PhysicalBook,,to-read,,,BookFiction;BookSciFi,,
34,Cosmos,Carl Sagan,1980,,PhysicalBook,read,2021-11-04 00:00:00,5,BookNonFiction,educational,
35,"Lap Dancing for Mommy: Tender Stories of Disgust, Blame and Inspiration",Erika Lopez,1997,PhysicalBook,PhysicalBook,read,2021-12-04 22:30:00,4,BookFiction,,
36,Death with Interruptions,José Saramago,2005,,,to-read,,,BookFiction,DublinLibrary,
37,The Loser,Thomas Bernhard,1983,,,currently-reading,,,BookFiction,DublinLibrary,
38,"Quicksilver (The Baroque Cycle, Vol. 1, Book 1)",Neal Stephenson,2003,,,to-read,,,BookFiction,,
39,The Rise and Fall of D.O.D.O.,Neal Stephenson,2017,EBook,EBook,read,2026-01-20 00:00:00,2,BookFiction,,"I don't like Stephenson anymore. While this is an okay read, the ideas keep clunking ahead and it feel forced and just unsavoury. This is some of his earlier work. Okay, magic and some governmental shenanigans. Okay, some time travelling mischief. But then the ending just feels a stereotypical chase and I didn not like how it ended into a shoehorning situation."
40,Reamde,Neal Stephenson,2011,EBook,EBook,read,2025-07-15 00:00:00,2,BookFiction;BookSciFi,,"Stephenson had some really crazy and intense ideas in the earlier books like Snow Crash and Cryptonomicon and Anathem. Then I found it less interesting in the later books, starting from Seven Eves and especially for Fall or Dodge in Hell. Reamde (I keep reading this as Readme!) is the previous book to Fall... I didn't like it. Its too abstract, too pretentious, and just goes too grandiose for the sake of it. I read the latest one (Termination Shock) before this, and I can see how the aspects that I didn't like are here and scattered but really amplified with each book. No more Stephenson for me."
41,The Collected Schizophrenias: Essays,Esmé Weijun Wang,2019,,,to-read,,,BookNonFiction,,
42,Thick: And Other Essays,Tressie McMillan Cottom,2019,,,to-read,,,BookNonFiction,,
43,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1997,PhysicalBook,PhysicalBook,read,2022-06-14 00:00:00,4,BookNonFiction,DCU;educational,"An interesting book with a more scientific premise of social progress, and understandable why it is so highly awarded. Though it did tend to go off more on the anthropological and sociological side, which made the book quite difficult to read (as in entertaining) but its typical of books of this type. The title is anecdoctal, so the initial impression was quite misleading that the book would offer a historical perspective on the three things - guns, germs, and steel."
44,Zed,Joanna Kavenna,2019,,,to-read,,,BookFiction,,
45,The Fire Starters,Jan Carson,2019,PhysicalBook,PhysicalBook,read,2024-07-24 00:00:00,4,BookFiction;BookSciFi,,"What starts off as a conventional conflict drama set in Belfast just after the troubles turns into an intensely personal conflict ravaged by magical realism. Shades of Midnight's Children shining through, the novel doesn't delve in to the horrors or the implications of the society around the story - but focuses with great precision on the analogous mindset of the two main characters whose children are weird - in both a magical and real way. Excellent writing, good pacing, and just the right amount of intensity."
46,The Binding,Bridget Collins,2019,,,to-read,,,BookFiction,DublinLibrary,
47,Women Talking,Miriam Toews,2018,,,to-read,,,BookFiction,DublinLibrary,
48,Lanny,Max Porter,2019,PhysicalBook,PhysicalBook,read,2023-04-04 00:00:00,4,BookFiction,,"I liked that this was an experimental book, more about exposition and conversations that are internal and external - and how there sometimes is no difference between them from our perspectives. The story was not overtly complicated, but the way it was presented added to the interesting writing style. A good, enjoyable read. Though I would have liked to see more of the magical realism the book started with, and to have it continue as part of the character's lives. So instead of relying only on internal perspectives of what one is thinking in a situation, we also would have had things happening (still normal, just written in the style). The illustrative writing felt cool to read through within the plot."
49,Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,2019,PhysicalBook,PhysicalBook,read,2020-10-26 00:00:00,4,BookNonFiction,DCU,
50,The Case Against Reality: Why Evolution Hid the Truth from Our Eyes,Donald D. Hoffman,2019,EBook,EBook,read,2022-04-26 12:00:00,2,BookNonFiction,,"This book was one of the most difficult reads so far. It definitely has valuable concepts and interesting perspectives. But reading it is just so painful that I wanted to give up in the first chapter itself. Things are excessively repetitive, often vague enough to make me browse back 10-15 pages to see if I had missed something explaining it, narratives jump across domains and seemingly unrelated topics that distracts immesely from what was being discussed, and to top it all - how designed jeans can make butts look bigger is used as an example of how our perception is not the 'objective reality'. Good topic, bad book."
51,"The AI Does Not Hate You: Superintelligence, Rationality and the Race to Save the World",Tom Chivers,2019,,,to-read,,,BookNonFiction,,
52,The Art of Logic in an Illogical World,Eugenia Cheng,2018,,,to-read,,,BookNonFiction,,
53,What Is Real?: The Unfinished Quest for the Meaning of Quantum Physics,Adam Becker,2018,EBook,EBook,read,2020-10-16 00:00:00,4,BookNonFiction,educational,
54,The Witch Doesn't Burn in This One,Amanda Lovelace,2018,PhysicalBook,PhysicalBook,read,2022-05-29 09:00:00,5,BookFiction,,"Book 3 of the series, just as wonderful and evocative."
55,War and Peace,Leo Tolstoy,1867,EBook,,to-read,,,BookFiction,,
56,Parable of the Sower,Octavia E. Butler,1993,PhysicalBook,PhysicalBook,read,2020-12-07 00:00:00,5,BookFiction;BookSciFi,,
57,Oryx and Crake,Margaret Atwood,2003,EBook,EBook,read,2023-06-01 00:00:00,5,BookFiction;BookSciFi,,"A brilliantly written book that has so many different themes and topics. From society to technology, personal relations and civilisations. Thoroughly enjoyed this. Looking forward to the other two books."
58,Reasons and Persons,Derek Parfit,1984,,,to-read,,,BookNonFiction,,
59,Hello World: Being Human in the Age of Algorithms,Hannah Fry,2018,,,to-read,,,BookNonFiction,,
60,Bullshit Jobs: A Theory,David Graeber,2018,,PhysicalBook,read,2023-03-26 00:00:00,2,BookNonFiction,,"I found a copy of this book lying around in the labs where I was teaching. Curious enough, I flipped through some pages to know what the fuss is all about. The impression was that this was something interesting, so I ended up reading the book to know more. I thinl I'm not the target audience for this book. It postulates that there are some jobs that are bullshit or useless. While the argument does make sense, I think it lacks a rigid social analysis and methodological analysis. Because an important consideration is the people doing the job - which could be saving time, effort, and so on. So are the jobs bullshit or is the job culture bullshit? The book nevers gets into it."
61,Codex Seraphinianus,Luigi Serafini,1981,,,to-read,,,BookFiction;BookSciFi,,
62,S.,Doug Dorst and J.J. Abrams,2013,PhysicalBook,PhysicalBook,read,2020-11-01 00:00:00,3,BookFiction;BookSciFi,visually-stunning,
63,Ham on Rye,Charles Bukowski,1982,PhysicalBook,PhysicalBook,read,2023-08-18 00:00:00,4,BookFiction,cork,"Bukowski has a style. An ugly degraded style. But that's also what we avoid thinking we look like in the mirror. In this case, Bukowski writes about childhood and how messed up growing typically is. I really liked reading this book, and seeing how the adult Henry Chinaski emerged from the younger version."
64,Asa Mi Asami [असा मी असामी],P. L. Deshpande [ पु. ल. देशपांडे ],1964,,,to-read,,,BookFiction,,
65,Batatyachi Chal [बटाट्याची चाळ],P. L. Deshpande [ पु. ल. देशपांडे ],1958,,,to-read,,,BookFiction,,
66,Mrutyunjay [मृत्युंजय],Shivaji Sawant,1967,,,to-read,,,BookFiction,,
67,Mother Night,Kurt Vonnegut Jr.,1961,PhysicalBook,PhysicalBook,read,2022-01-13 23:00:00,3,BookFiction,,A darker and well concocted humour mixture from Vonnegut. Small and quick read.
68,The Ministry of Utmost Happiness,Arundhati Roy,2017,PhysicalBook,PhysicalBook,read,2023-07-14 13:00:00,5,BookFiction,cork,"This book was an excellent experience of being immersed in the reading - not the world but the act and joys of reading a good book. Just as you know your experience of enjoying a good meal and are immersed in the tastes and feels of each morsel, this book was such an experience where every page, character, and setting was enjoyable. Set in the roots of Indian society, the book takes on a lot of unusual characters that simultaneously seem ludicrous to exist and yet would not be out of place or even noticeable amongst the other chaos of the society. There are subtle comments, leaps from personal to national topics, and a vivid writing style that is more about the journey than the goal. I found myself not caring overall about where the plot is going or what the overall story and its meaning was. Instead I simply enjoyed the things as they were presented."
69,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,1979,PhysicalBook,,to-read,,,BookNonFiction,DCU,
70,Critique of Pure Reason,Immanuel Kant,1781,,,to-read,,,BookNonFiction,,
71,A History of Western Philosophy,Bertrand Russell,1945,PhysicalBook,,to-read,,,BookNonFiction,DCU,
72,Meditations,Marcus Aurelius,180,PhysicalBook,,currently-reading,,,BookNonFiction,,
73,Coraline,Neil Gaiman,2002,,EBook,read,2026-07-01 00:00,4,BookFiction;BookSciFi,DublinLibrary,"A sweet little story about a girl who discovers a hidden world, but with sinister things. Clearly inspired by the Alice in Wonderland and the Chronicles of Naria amongst others. But I just couldn't get it out of head that the author is an abuser and exploiter and that made enjoying the art very much a problem. Its difficult to know sometimes how people who write wonderful things have such dark shadows."
74,The System of the World,Neal Stephenson,2004,,,to-read,,,BookFiction;BookSciFi,,
75,The Confusion,Neal Stephenson,2004,,,to-read,,,BookFiction;BookSciFi,,
76,Quicksilver,Neal Stephenson,2003,,,to-read,,,BookFiction;BookSciFi,,
77,The War of the Worlds,H.G. Wells,1898,,,to-read,,,BookFiction;BookSciFi,,
78,The Sentinel,Arthur C. Clarke,1983,,,to-read,,,BookFiction;BookSciFi,,
79,Matter,Iain M. Banks,2008,,,to-read,,,BookFiction;BookSciFi,,
80,Thus Spoke Zarathustra,Friedrich Nietzsche,1883,PhysicalBook,,to-read,,,BookFiction,,
81,Story Genius: How to Use Brain Science to Go Beyond Outlining and Write a Riveting Novel (Before You Waste Three Years Writing 327 Pages That Go Nowhere),Lisa Cron,2016,,,to-read,,,BookNonFiction,,
82,Siddhartha,Hermann Hesse,1922,EBook,EBook,read,2022-04-22 20:00:00,4,BookFiction,,A gentle but thoughtful rendition of meeting the Buddha and being the Buddha.
83,A Portrait of the Artist as a Young Man,James Joyce,1916,,,to-read,,,BookFiction,,
84,On the Geneology of Morals,Friedrich Nietzsche,1887,,,to-read,,,BookNonFiction,,
85,Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,Angela Saini,2016,,,to-read,,,BookNonFiction,,
86,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,2005,,,to-read,,,BookNonFiction,,
87,Every Cradle is a Grave: Rethinking the Ethics of Birth and Suicide,Sarah Perry,2013,,,to-read,,,BookNonFiction,,
88,Discourses and Enchiridion,Epictetus,2014,,,to-read,,,BookNonFiction,,
89,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,2010,,,to-read,,,BookNonFiction,,
90,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,1999,,,to-read,,,BookNonFiction,,
91,The Birth and Death of Meaning: An Interdisciplinary Perspective on the Problem of Man,Ernest Becker,1962,,,to-read,,,BookNonFiction,,
92,Beyond Good and Evil,Friedrich Nietzsche,1886,,,to-read,,,BookNonFiction,,
93,Animal's People,Indra Sinha,2007,,,to-read,,,BookNonFiction,,
94,The Psychology of Man's Possible Evolution,P.D. Ouspensky,1951,,,to-read,,,BookNonFiction,,
95,Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,2016,,,to-read,,,BookNonFiction,,
96,Parasite Rex: Inside the Bizarre World of Nature's Most Dangerous Creatures,Carl Zimmer,2000,EBook,,to-read,,,BookNonFiction,,
97,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,2015,,,to-read,,,BookNonFiction,,
98,Cloud Atlas,David Mitchell,2004,,,to-read,,,BookFiction;BookSciFi,,
99,From These Ashes: The Complete Short SF of Fredric Brown,Fredric Brown,2002,,EBook,read,2022-04-14 09:00:00,3,BookFiction;BookSciFi,,
100,The Godfather,Mario Puzo,1969,,PhysicalBook,read,1995-01-01 00:00:00,5,BookFiction,classics,
101,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,,PhysicalBook,read,1995-04-08 00:00:00,5,BookFiction,classics;fantasy,
102,Quidditch Through the Ages (Hogwarts Library),Kennilworthy Whisp,2001,,PhysicalBook,read,1995-05-11 00:00:00,3,BookFiction,,
103,The Complete Sherlock Holmes and Tales of Terror and Mystery,Arthur Conan Doyle,1908,,PhysicalBook,read,1995-09-05 20:00:00,5,BookFiction,classics,
104,Great Expectations,Charles Dickens,1861,,PhysicalBook,read,1995-09-05 10:00:00,3,BookFiction,classics,
105,Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,,PhysicalBook,read,1995-10-31 00:00:00,5,BookFiction,classics;fantasy,
106,Harry Potter and the Deathly Hallows,J.K. Rowling,2007,,PhysicalBook,read,1996-02-22 00:00:00,5,BookFiction,classics;fantasy,
107,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,,PhysicalBook,read,1996-03-05 00:00:00,5,BookFiction,classics;fantasy,
108,Aesop's Fables,Aesop,-560,,PhysicalBook,read,1996-04-19 00:00:00,5,BookFiction,classics,
109,Baalbahaddar Faster Fene (बालबहाद्धर फास्टर फेणे),B.R. Bhagwat,1977,,PhysicalBook,read,1996-05-28 00:00:00,3,BookFiction,,
110,The Tales of Beedle the Bard (Hogwarts Library),J.K. Rowling,2008,,PhysicalBook,read,1996-06-14 00:00:00,4,BookFiction,,
111,The Mysterious Island,Jules Verne,1865,,PhysicalBook,read,1996-06-27 00:00:00,4,BookFiction;BookSciFi,,
112,Fools Die,Mario Puzo,1978,,PhysicalBook,read,1996-07-06 00:00:00,3,BookFiction,,
113,Tring...Tring...Faster Fene (ट्रिंग...ट्रिंग... फास्टर फेणे),B.R. Bhagwat,1981,,PhysicalBook,read,1996-08-05 00:00:00,3,BookFiction,,
114,The Adventures of Tom Sawyer,Mark Twain,1875,,PhysicalBook,read,1996-10-13 00:00:00,5,BookFiction,classics,
115,The Call of the Wild,Jack London,1903,,PhysicalBook,read,1997-04-17 00:00:00,5,BookFiction,,
116,Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander,2001,,PhysicalBook,read,1997-05-03 00:00:00,4,BookFiction,,
117,Harry Potter and the Goblet of Fire,J.K. Rowling,2000,,PhysicalBook,read,1997-05-05 00:00:00,5,BookFiction,classics;fantasy,
118,Aage Badho Faster Fene (आगे बढो फास्टर फेणे),B.R. Bhagwat,1976,,PhysicalBook,read,1997-05-09 00:00:00,3,BookFiction,,
119,From the Earth to the Moon,Jules Verne,1865,,PhysicalBook,read,1997-05-17 00:00:00,4,BookFiction;BookSciFi,,
120,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,1839,,PhysicalBook,read,1997-05-24 00:00:00,5,BookFiction,,
121,Little Women,Louisa May Alcott,1868,,PhysicalBook,read,1997-07-20 00:00:00,4,BookFiction,,
122,Eragon,Christopher Paolini,2002,,PhysicalBook,read,1997-08-27 00:00:00,3,BookFiction;BookSciFi,,
123,David Copperfield,Charles Dickens,1850,,PhysicalBook,read,1997-09-02 00:00:00,3,BookFiction,,
124,Chakrivaadalaat Faster Fene (चक्रीवादळात फास्टर फेणे),B.R. Bhagwat,1971,,PhysicalBook,read,1997-11-26 00:00:00,3,BookFiction,,
125,The Adventures of Huckleberry Finn,Mark Twain,1884,,PhysicalBook,read,1997-12-13 00:00:00,3,BookFiction,classics,
126,Faster Fene Detective (फास्टर फेणे डिटेक्टीव्ह),B.R. Bhagwat,1964,,PhysicalBook,read,1997-12-15 00:00:00,3,BookFiction,,
127,Omerta,Mario Puzo,1999,,PhysicalBook,read,1998-01-17 00:00:00,3,BookFiction,,
128,The Sicilian,Mario Puzo,1969,,PhysicalBook,read,1998-03-22 00:00:00,4,BookFiction,,
129,Tick Tock Faster Fene (टिक टॉक फास्टर फेणे),B.R. Bhagwat,1985,,PhysicalBook,read,1998-06-02 00:00:00,3,BookFiction,,
130,Around the World in Eighty Days,Jules Verne,1873,,PhysicalBook,read,1998-06-28 00:00:00,5,BookFiction,,
131,Oliver Twist,Charles Dickens,1839,,PhysicalBook,read,1998-09-01 00:00:00,3,BookFiction,,
132,Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,1892,,PhysicalBook,read,1998-09-25 00:00:00,5,BookFiction,classics,
133,Through the Looking-Glass and What Alice Found There,Lewis Carroll,1871,,PhysicalBook,read,1998-09-26 00:00:00,5,BookFiction,classics;fantasy,
134,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,,PhysicalBook,read,1998-10-08 00:00:00,5,BookFiction;BookSciFi,classics;scifi,
135,The Gold Bug,Edgar Allan Poe,1842,,PhysicalBook,read,1998-11-28 00:00:00,5,BookFiction,,
136,Jawaanmard Faster Fene (जवानमर्द फास्टर फेणे),B.R. Bhagwat,1979,,PhysicalBook,read,1999-03-06 00:00:00,3,BookFiction,,
137,Faster Fenecha Ranrang (फास्टर फेणेचा रणरंग),B.R. Bhagwat,1960,,PhysicalBook,read,1999-03-22 00:00:00,3,BookFiction,,
138,The Diary of a Young Girl,Anne Frank,1947,,PhysicalBook,read,1999-04-20 00:00:00,3,BookNonFiction,,
139,Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,,PhysicalBook,read,1999-05-03 00:00:00,5,BookFiction,classics;fantasy,
140,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,,PhysicalBook,read,1999-06-17 00:00:00,4,BookFiction,,
141,Five Weeks in a Balloon,Jules Verne,1863,,PhysicalBook,read,1999-07-07 00:00:00,3,BookFiction;BookSciFi,,
142,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,1871,,PhysicalBook,read,1999-10-25 00:00:00,5,BookFiction,classics;fantasy,
143,Tales of Mystery and Madness,Edgar Allan Poe,2004,,PhysicalBook,read,1999-11-05 00:00:00,5,BookFiction,classics;horror,
144,Journey to the Center of the Earth,Jules Verne,1864,,PhysicalBook,read,1999-12-19 00:00:00,5,BookFiction;BookSciFi,,
145,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,,PhysicalBook,read,2000-02-18 07:00:00,5,BookFiction,classics;fantasy,
146,Robinson Crusoe,Daniel Defoe,1719,,PhysicalBook,read,2000-02-18 08:00:00,4,BookFiction,,
147,Pratapgadawar Faster Fene (प्रतापगडावर फास्टर फेणे),B.R. Bhagwat,1966,,PhysicalBook,read,2000-05-08 00:00:00,3,BookFiction,,
148,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,,PhysicalBook,read,2000-05-18 00:00:00,5,BookFiction,classics;fantasy,
149,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,1843,,PhysicalBook,read,2000-08-03 00:00:00,5,BookFiction,,
150,Oz: The Complete Collection,L. Frank Baum,1900,,PhysicalBook,read,2000-08-10 00:00:00,5,BookFiction,,
151,Captains Courageous,Rudyard Kipling,1897,,PhysicalBook,read,2000-09-17 00:00:00,3,BookFiction,,
152,Fursungicha Faster Fene (फुरसुंगीचा फास्टर फेणे),B.R. Bhagwat,1975,,PhysicalBook,read,2001-01-07 00:00:00,3,BookFiction,,
153,Kidnapped,Robert Louis Stevenson,1886,,PhysicalBook,read,2001-02-04 00:00:00,4,BookFiction,,
154,The Last Don,Mario Puzo,1996,,PhysicalBook,read,2001-05-17 10:00:00,3,BookFiction,,
155,The Hound of the Baskervilles,Arthur Conan Doyle,1901,,PhysicalBook,read,2001-05-17 11:00:00,4,BookFiction,,
156,Treasure Island,Robert Louis Stevenson,1879,,PhysicalBook,read,2001-05-29 00:00:00,3,BookFiction,,
157,Start From Here,Sean French,2003,,PhysicalBook,read,2002-05-16 00:00:00,2,BookFiction,,
158,Memories of Midnight,Sidney Sheldon,1990,,PhysicalBook,read,2002-06-05 00:00:00,3,BookFiction,,
159,Master of the Game,Sidney Sheldon,1982,,PhysicalBook,read,2002-06-23 00:00:00,3,BookFiction,,
160,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,,PhysicalBook,read,2002-10-03 00:00:00,5,BookFiction,,
161,Windmills of the Gods,Sidney Sheldon,1987,,PhysicalBook,read,2002-10-29 00:00:00,3,BookFiction,,
162,Digital Fortress,Dan Brown,1998,,PhysicalBook,read,2002-11-11 00:00:00,3,BookFiction,,
163,Are You Afraid of the Dark?,Sidney Sheldon,2004,,PhysicalBook,read,2002-11-16 00:00:00,3,BookFiction,,
164,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955,,PhysicalBook,read,2003-03-06 00:00:00,5,BookFiction;BookSciFi,classics;fantasy,
165,The Various Haunts of Men,Susan Hill,2004,,PhysicalBook,read,2003-04-16 00:00:00,2,BookFiction,,
166,Hannibal,Thomas Harris,1999,,PhysicalBook,read,2004-03-31 00:00:00,3,BookFiction,,
167,The Murder Artist,John Case,2004,,PhysicalBook,read,2004-04-13 00:00:00,2,BookFiction,,
168,Dirty Bomb,Gilbert King,2004,,PhysicalBook,read,2004-07-25 00:00:00,2,BookNonFiction,,
169,The Other Side of Midnight,Sidney Sheldon,1973,,PhysicalBook,read,2004-10-11 00:00:00,3,BookFiction,,
170,The King of Torts,John Grisham,2003,,PhysicalBook,read,2005-01-08 00:00:00,3,BookFiction,,
171,The Best Laid Plans,Sidney Sheldon,1997,,PhysicalBook,read,2005-01-24 00:00:00,3,BookFiction,,
172,The Naked Face,Sidney Sheldon,1970,,PhysicalBook,read,2005-04-16 00:00:00,3,BookFiction,,
173,The Da Vinci Code,Dan Brown,2003,,PhysicalBook,read,2005-04-18 00:00:00,3,BookFiction,,
174,Rage of Angels,Sidney Sheldon,1980,,PhysicalBook,read,2005-08-23 00:00:00,3,BookFiction,,
175,The Client,John Grisham,1993,,PhysicalBook,read,2006-02-10 00:00:00,3,BookFiction,,
176,The Fountainhead,Ayn Rand,1943,,PhysicalBook,read,2006-03-29 00:00:00,5,BookFiction,books-changed-life,
177,Angels & Demons,Dan Brown,2000,,PhysicalBook,read,2006-05-11 00:00:00,3,BookFiction,,
178,A Stranger in the Mirror,Sidney Sheldon,1976,,PhysicalBook,read,2006-05-25 00:00:00,3,BookFiction,,
179,"Morning, Noon & Night",Sidney Sheldon,1995,,PhysicalBook,read,2006-06-26 00:00:00,3,BookFiction,,
180,Up and Down in the Dales,Gervase Phinn,2004,,PhysicalBook,read,2006-07-16 00:00:00,2,BookFiction,,
181,Eat Cake,Jeanne Ray,2003,,PhysicalBook,read,2006-07-21 00:00:00,2,BookFiction,,
182,Inferno,Dan Brown,2013,,PhysicalBook,read,2006-07-26 00:00:00,2,BookFiction,,
183,A Gathering Light,Jennifer Donnelly,2003,,PhysicalBook,read,2006-09-24 00:00:00,2,BookFiction,,
184,Red Dragon,Thomas Harris,1981,,PhysicalBook,read,2006-09-29 00:00:00,4,BookFiction,thriller,
185,The Sands of Time,Sidney Sheldon,1988,,PhysicalBook,read,2007-01-15 00:00:00,3,BookFiction,,
186,The Sky is Falling,Sidney Sheldon,2000,,PhysicalBook,read,2007-01-16 00:00:00,3,BookFiction,,
187,The Silence of the Lambs,Thomas Harris,1988,,PhysicalBook,read,2007-03-14 00:00:00,5,BookFiction,thriller,
188,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1998,,PhysicalBook,read,2007-05-07 00:00:00,4,BookFiction,,
189,The Broker,John Grisham,2005,,PhysicalBook,read,2007-05-11 00:00:00,2,BookFiction,,
190,A Brief History of Time,Stephen Hawking,1988,,PhysicalBook,read,2007-06-05 00:00:00,5,BookNonFiction,educational,
