Year,Author,Novel,Publisher,Ref.
2013,Ken MacLeod,Intrusion,Orbit Books,
2013,Adrian Barnes,Nod,Bluemoose Books,
2014,Ann Leckie*,Ancillary Justice,Orbit Books,
2014,Kameron Hurley,God's War,Del Rey Books,
2014,Phillip Mann,The Disestablishment of Paradise,Victor Gollancz Ltd,
2014,Ramez Naam,Nexus,Angry Robot,
2014,Christopher Priest,The Adjacent,Victor Gollancz Ltd,
2014,James Smythe,The Machine,Blue Door,
2015,Emily St. John Mandel*,Station Eleven,Picador,
2015,Michel Faber,The Book of Strange New Things,Canongate Books,
2015,Dave Hutchinson,Europe in Autumn,Solaris Books,
2015,Claire North,The First Fifteen Lives of Harry August,Orbit Books,
2015,M. R. Carey,The Girl with All the Gifts,Orbit Books,
2015,Emmi Itäranta,Memory of Water,HarperVoyager,
2016,Adrian Tchaikovsky*,Children of Time,Tor Books,
2016,Becky Chambers,"The Long Way to a Small, Angry Planet",Hodder & Stoughton,
2016,Dave Hutchinson,Europe at Midnight,Solaris Books,
2016,Nnedi Okorafor,The Book of Phoenix,Hodder & Stoughton,
2016,Iain Pears,Arcadia,Faber and Faber,
2016,James Smythe,Way Down Dark,Hodder & Stoughton,
2017,Colson Whitehead*,The Underground Railroad,Fleet Publishing,
2017,Becky Chambers,A Closed and Common Orbit,Hodder & Stoughton,
2017,Yoon Ha Lee,Ninefox Gambit,Solaris Books,
2017,Emma Newman,After Atlas,Roc Books,
2017,Tricia Sullivan,Occupy Me,Gollancz Books,
2017,Lavie Tidhar,Central Station,PS Publishing,
2018,Anne Charnock*,Dreams Before the Start of Time,47North,
2018,Omar El Akkad,American War,Picador,
2018,Jeff VanderMeer,Borne,Fourth Estate,
2018,Jennie Melamed,Gather the Daughters,Tinder Press,
2018,C. Robert Cargill,Sea of Rust,Gollancz Books,
2018,Jaroslav Kalfar,Spaceman of Bohemia,Sceptre,
2019,Tade Thompson*,Rosewater,Orbit Books,
2019,Sue Burke,Semiosis,HarperVoyager,
2019,Yoon Ha Lee,Revenant Gun,Solaris Books,
2019,Ahmed Saadawi,Frankenstein in Baghdad,Oneworld Publications,
2019,Simon Stålenhag,The Electric State,Simon and Schuster,
2019,Aliya Whiteley,The Loosening Skin,Unsung Stories,
2020,Namwali Serpell*,The Old Drift,Hogarth Press,
2020,Adrian Tchaikovsky,Cage of Souls,Head of Zeus,
2020,Charlie Jane Anders,The City in the Middle of the Night,"Tor Books, Titan Books",
2020,David Wellington,The Last Astronaut,Hachette,
