Year,Author,Novel,Publisher or publication,Ref.
1980,Frederik Pohl,Beyond the Blue Event Horizon,Del Rey Books,
1980,Walter Tevis,Mockingbird,Doubleday,
1980,Robert Stallman,The Orphan,Pocket Books,
1980,Gene Wolfe,The Shadow of the Torturer,Simon & Schuster,
1980,Joan D. Vinge,The Snow Queen,Dial Press,
1981,Gene Wolfe*,The Claw of the Conciliator,Timescape Books,
1981,John Crowley,"Little, Big",Bantam Books,
1981,Julian May,The Many-Colored Land,Houghton Mifflin,
1981,A. A. Attanasio,Radix,William Morrow and Company,
1981,Russell Hoban,Riddley Walker,Summit Books,
1981,Suzy McKee Charnas,The Vampire Tapestry,Simon & Schuster,
1982,Michael Bishop*,No Enemy But Time,Timescape Books,
1982,Isaac Asimov,Foundation's Edge,Doubleday,
1982,Robert A. Heinlein,Friday,"Holt, Rinehart & Winston",
1982,Brian Aldiss,Helliconia Spring,Atheneum Books,
1982,Gene Wolfe,The Sword of the Lictor,Timescape Books,
1982,Philip K. Dick,The Transmigration of Timothy Archer,Timescape Books,
1983,David Brin*,Startide Rising,Bantam Books,
1983,Gregory Benford,Against Infinity,Timescape Books,
1983,Gene Wolfe,The Citadel of the Autarch,Timescape Books,
1983,Jack Vance,Lyonesse,Berkley Books,
1983,R. A. MacAvoy,Tea with the Black Dragon,Bantam Books,
1983,Norman Spinrad,The Void Captain's Tale,Timescape Books,
1984,William Gibson*,Neuromancer,Ace Books,
1984,Lewis Shiner,Frontera,Baen Books,
1984,Larry Niven,The Integral Trees,Del Rey Books,
1984,Robert A. Heinlein,Job: A Comedy of Justice,Del Rey Books,
1984,Jack Dann,The Man Who Melted,Bluejay Books,
1984,Kim Stanley Robinson,The Wild Shore,Ace Books,
1985,Orson Scott Card*,Ender's Game,Tor Books,
1985,Greg Bear,Blood Music,Arbor House,
1985,Tim Powers,Dinner at Deviant's Palace,Ace Books,
1985,Brian Aldiss,Helliconia Winter,Atheneum Books,
1985,David Brin,The Postman,Bantam Spectra,
1985,Barry N. Malzberg,The Remaking of Sigmund Freud,Del Rey Books,
1985,Bruce Sterling,Schismatrix,Arbor House,
1986,Orson Scott Card*,Speaker for the Dead,Tor Books,
1986,William Gibson,Count Zero,Asimov's Science Fiction,
1986,Gene Wolfe,Free Live Free,Tor Books,
1986,Margaret Atwood,The Handmaid's Tale,Houghton Mifflin,
1986,Leigh Kennedy,The Journal of Nicholas the American,Atlantic Monthly Press,
1986,James K. Morrow,This Is the Way the World Ends,Henry Holt and Company,
1987,Pat Murphy*,The Falling Woman,Tor Books,
1987,Greg Bear,The Forge of God,Tor Books,
1987,Gene Wolfe,Soldier of the Mist,Tor Books,
1987,David Brin,The Uplift War,Bantam Spectra,
1987,Avram Davidson,Vergil in Averno,Doubleday,
1987,George Alec Effinger,When Gravity Fails,Arbor House,
1988,Lois McMaster Bujold*,Falling Free,Analog Science Fact & Fiction,
1988,Lewis Shiner,Deserted Cities of the Heart,Doubleday Foundation,
1988,George Turner,Drowning Towers,Arbor House,
1988,Gregory Benford,Great Sky River,Bantam Spectra,
1988,William Gibson,Mona Lisa Overdrive,Bantam Spectra,
1988,Orson Scott Card,Red Prophet,Tor Books,
1988,Gene Wolfe,The Urth of the New Sun,Tor Books,
1989,Elizabeth Ann Scarborough*,The Healer's War,Doubleday Foundation,
1989,Poul Anderson,The Boat of a Million Years,Tor Books,
1989,Orson Scott Card,Prentice Alvin,Tor Books,
